Date,domestic passengers_log_diff,international passenegrs_log_diff,domestic freight(in tonne)_log_diff,international freight(in tonne)_log_diff,GDP (in dollars)_log_diff,Population,Jet Fuel Price per Gallon_log_diff,Inflation Rate _log_diff,Unemployement Rate_log_diff,Rupees Exchange Rate_log_diff
2015-01-04,0.04498584936171923,-0.0142995841806286,-0.0019198040017744944,-0.04002391215029988,0.0,1328024498,0.04872931029594696,0.0,0.0,0.0025575461511175845
2015-01-05,0.08198776316329237,0.0593150188475402,0.08107296847184209,0.005574466438373449,0.0,1328024498,0.09954832001022407,0.0,0.0,0.016937484445848305
2015-01-06,-0.07735431340744192,-0.0651511453978042,-0.06369933800864658,0.009284508221536925,0.0,1328024498,-0.06458937419766553,0.0,0.0,0.0010981254535149532
2015-01-07,0.02687762677310168,0.0068396508687982305,0.07219240761082446,-0.012115099345809455,0.0,1328024498,-0.11504066432721238,0.0,0.0,-0.0028261912358349406
2015-01-08,-0.0018430404205869166,0.055311303128075195,-0.015059174759231908,-0.005922924751937231,0.0,1328024498,-0.0868361947766303,0.0,0.0,0.02331107886844741
2015-01-09,-0.014663580294401513,-0.10736690849859265,-0.01420332129396229,-0.029809760446914524,0.0,1328024498,0.021668608794199073,0.0,0.0,0.016302638809444048
2015-01-10,0.05441340905119141,0.0018907941924748428,0.08600174111690073,0.06248919885607229,0.0,1328024498,-0.020231429839182802,0.0,0.0,-0.017378486142907157
2015-01-11,0.0393192755750853,0.04489267648983741,-0.11756447970173056,-0.045786538273574706,0.0,1328024498,-0.033018159392083746,0.0,0.0,0.016320044976580128
2015-01-12,0.05151021163765357,0.11072858687893472,0.03877344162184038,0.023272912369309395,0.0,1328024498,-0.19505355605330532,0.0,0.0,0.006033200804167471
2016-01-01,-0.007059898433295686,0.007824823063829811,0.21624639216988228,-0.061804340791836054,0.08699970724913086,1343944296,-0.1410533670792109,0.008113634774169709,-0.003939598004080391,0.012403954895381375
2016-01-02,-0.02354477220588791,-0.12555709437679496,-0.02504330588856085,0.017953269354499923,0.0,1343944296,0.05925131824165231,0.0,0.0,0.013425000626233974
2016-01-03,0.0513052375534766,0.09247526512633009,0.009763664893711166,0.058978116505674194,0.0,1343944296,0.07665421138239203,0.0,0.0,-0.019981424053106878
2016-01-04,0.007823159940569369,-0.013055303387103478,-0.05144898768444328,-0.013059277989180273,0.0,1343944296,0.06153499148116559,0.0,0.0,-0.0070512631817161164
2016-01-05,0.08800189248811918,0.04395712435001542,0.07215422302612495,0.026864660378366878,0.0,1343944296,0.13075669150516855,0.0,0.0,0.0070512631817161164
2016-01-06,-0.08334625573174215,-0.06574560262818174,0.0019743721490765864,0.027096308691092474,0.0,1343944296,0.06774146541132442,0.0,0.0,0.005664892907197405
2016-01-07,0.06601693011122833,0.09362444696340333,0.017784235573058638,-0.04127245625113929,0.0,1343944296,-0.08386804031972428,0.0,0.0,-0.0016365398281745769
2016-01-08,-0.014944096886488012,0.0019026418674918943,0.00020691276819562177,0.03989262383761094,0.0,1343944296,0.01370680072544328,0.0,0.0,-0.003878865075156668
2016-01-09,-0.018234915932248796,-0.056731506262396536,0.04729513030648924,0.011998461521635306,0.0,1343944296,0.015454488804656386,0.0,0.0,-0.002844100412758621
2016-01-10,0.05245556086321912,-0.0046600631069697585,0.08734768553570937,0.08892033041160019,0.0,1343944296,0.09981295140853419,0.0,0.0,0.00044960660180315415
2016-01-11,0.03427845541691177,0.025498383181234985,-0.21261249066638932,-0.0108091654207918,0.0,1343944296,-0.06038690976170802,0.0,0.0,0.0133950507071523
2016-01-12,0.06229721506052499,0.1500720024327471,0.07166788607809771,0.05692094941609227,0.0,1343944296,0.10039022855728241,0.0,0.0,0.0025101526653710238
2017-01-01,0.0033956755614283907,0.022451044592870062,-0.014105143886400384,-0.019177606374533696,0.14447147425765294,1359657400,0.018302443852928896,-0.3964152725882464,0.0026281224062696396,0.0035330524017238574
2017-01-02,-0.10267551864995106,-0.17580631402812408,-0.04290854296961655,0.04861656812698456,0.0,1359657400,0.00676592567530232,0.0,0.0,-0.015997971175515602
2017-01-03,0.044359038082491864,0.09765452895841342,0.1499741346613117,0.2034161900026792,0.0,1359657400,-0.08605729119834393,0.0,0.0,-0.017624919590687682
2017-01-04,0.010270582130615935,-0.0014366215218633016,-0.09142851812575259,-0.0604647004060439,0.0,1359657400,0.02252651437158626,0.0,0.0,-0.01933465170745574
2017-01-05,0.10814529216943569,0.04742747642628764,0.0858421529721145,0.035323409827531904,0.0,1359657400,-0.06861167893611597,0.0,0.0,-0.0018610427207628177
2017-01-06,-0.06131800928417519,-0.07231625423730748,0.009150142393414384,-0.037850873018046016,0.0,1359657400,-0.08629203874976366,0.0,0.0,0.00046558548214381545
2017-01-07,-0.0003940177109349463,0.08933676385086287,0.004646505912271337,-0.040724666183033165,0.0,1359657400,0.09013249993573158,0.0,0.0,-0.00046558548214381545
2017-01-08,0.013560313152201076,0.026257938393838387,0.015614974683220595,0.013726659909792716,0.0,1359657400,0.08940874923357534,0.0,0.0,-0.0070099204410070115
2017-01-09,-0.011750707308394226,-0.08463118889721599,0.07416089951814442,-0.02634308556815057,0.0,1359657400,0.1501797184976299,0.0,0.0,0.00794087473632743
2017-01-10,0.08698415289353889,0.03716514331413023,-0.054334827223847526,0.04908182313255871,0.0,1359657400,-0.0719027535693133,0.0,0.0,0.008647367041182186
2017-01-11,0.0033514075430325363,0.0029651999777353666,-0.06396632543103209,0.04307809022016862,0.0,1359657400,0.055830125745973014,0.0,0.0,-0.0030797683720802382
2017-01-12,0.06952770533037977,0.13603497867499215,0.03810988038870278,0.0014969128972435186,0.0,1359657400,0.022087425128458626,0.0,0.0,-0.009296627228969179
2018-01-01,0.02136878361075034,0.014721062888259695,-0.06694730247562575,-0.03455725063661852,0.019220426354308984,1374659064,0.06227111056101364,0.16820841931748998,0.003929278139889636,-0.009226744635090434
2018-01-02,-0.0656943604168454,-0.154263392491373,-0.023646963819471623,-0.06938465329254662,0.0,1374659064,-0.04275912404579785,0.0,0.0,0.012180038147135974
2018-01-03,0.07410751240769642,0.10574072720201144,0.11476523413024431,0.14176532807509545,0.0,1374659064,0.01467793843739873,0.0,0.0,0.009576841807962921
