Date,dom_pass,int_pass,dom_freight,int_freight,gdp,population,jet_fuel,inflation,unemployment,exchange_rate
07-01-2021,8209840.633,1372683.444,47699,17479,3.16727E+12,1414203896,140.62,5.13,6.38,73.58
08-01-2021,8413456.675,1414233.919,52417,17605,3.16727E+12,1414203896,134.78,5.13,6.38,74.54
09-01-2021,8617072.716,1455784.393,54372,20692,3.16727E+12,1414203896,147.45,5.13,6.38,74.12
10-01-2021,8820688.758,1497334.868,58361,21672,3.16727E+12,1414203896,171.98,5.13,6.38,73.64
11-01-2021,10471234,1162717,51604,18396,3.16727E+12,1414203896,163.34,5.13,6.38,74.92
12-01-2021,11156079,1387628,57922,19021,3.16727E+12,1414203896,158.25,5.13,6.38,74.48
01-01-2022,6410579,2781525,50306,18842,3.35347E+12,1425423212,182.1,6.7,4.82,75.39
02-01-2022,7695734,2781525,49145,18842,3.35347E+12,1425423212,201.24,6.7,4.82,74.41
03-01-2022,10619642,114371,57299,920,3.35347E+12,1425423212,266.47,6.7,4.82,74.97
04-01-2022,10549088,1458177,55740,16963,3.35347E+12,1425423212,298.18,6.7,4.82,76.19
05-01-2022,11470422,1730955,62345,15703,3.35347E+12,1425423212,301.66,6.7,4.82,76.17
06-01-2022,10514030,1836757,61671,14934,3.35347E+12,1425423212,321.68,6.7,4.82,77.29
07-01-2022,9704934,1964960,61941,16877,3.35347E+12,1425423212,276.92,6.7,4.82,78.09
08-01-2022,10115739,1925538,57036,16437,3.35347E+12,1425423212,265.63,6.7,4.82,79.59
09-01-2022,10346833,1874964,58578,16837,3.35347E+12,1425423212,261.77,6.7,4.82,79.51
10-01-2022,11400977,1972821,57273,16189,3.35347E+12,1425423212,305.87,6.7,4.82,80.25
11-01-2022,11678582,2054589,55554,15481,3.35347E+12,1425423212,258.58,6.7,4.82,82.29
12-01-2022,12735454,2278961,57163,15863,3.35347E+12,1425423212,238.6,6.7,4.82,81.68
01-01-2023,12551028,2314453,54414,15163,3.56755E+12,1438069596,290.05,5.65,4.17,82.47
02-01-2023,12068372,2132905,55075,16232,3.56755E+12,1438069596,230.47,5.65,4.17,81.74
03-01-2023,12893197,2331138,61299,18370,3.56755E+12,1438069596,220.46,5.65,4.17,82.6
04-01-2023,12888410,2184188,59070,16162,3.56755E+12,1438069596,194.72,5.65,4.17,82.27
05-01-2023,13214182,2357016,64589,16525,3.56755E+12,1438069596,178.91,5.65,4.17,81.97
06-01-2023,12486601,2313021,62869,17148,3.56755E+12,1438069596,185.06,5.65,4.17,82.3
07-01-2023,12100030,2400520,65048,16099,3.56755E+12,1438069596,204.46,5.65,4.17,82.23
08-01-2023,12422673,2403998,65757,17691,3.56755E+12,1438069596,247.45,5.65,4.17,82.16
09-01-2023,12246549,2269965,61375,18006,3.56755E+12,1438069596,259.14,5.65,4.17,82.81
10-01-2023,12636742,2397386,63877,19678,3.56755E+12,1438069596,239.8,5.65,4.17,83.07
11-01-2023,12735394,2527907,63313,18829,3.56755E+12,1438069596,227.72,5.65,4.17,83.22
12-01-2023,13797352,2781525,63714,18842,3.56755E+12,1438069596,198.84,5.65,4.17,83.27
01-01-2024,13131603,2729843,60214,19064,3.91268E+12,1441719852,214.89,4.95,4.2,83.25
02-01-2024,12647306,2544506,62811,22336,3.91268E+12,1441719852,222.59,4.95,4.2,83.11
03-01-2024,13367468,2675807,65814,24127,3.91268E+12,1441719852,215.21,4.95,4.2,82.95
04-01-2024,13200048,2566770,59144,22023,3.91268E+12,1441719852,217.27,4.95,4.2,83.02
05-01-2024,13795301,2580637,69485,23035,3.91268E+12,1441719852,198.51,4.95,4.2,83.4
06-01-2024,13205828,2711650,67393,24542,3.91268E+12,1441719852,199.84,4.95,4.2,83.39
07-01-2024,12986105,2763666,68439,24974,3.91268E+12,1441719852,202.26,4.95,4.2,83.46
08-01-2024,13130699,2779337,67297,24436,3.91268E+12,1441719852,182.56,4.95,4.2,83.59
09-01-2024,13027336,2671124,67253,26496,3.91268E+12,1441719852,166.09,4.95,4.2,83.89
10-01-2024,13657193,2765194,71177,22335,3.91268E+12,1441719852,173.76,4.95,4.2,83.79
11-01-2024,14250266,2812305,60450,23651,3.91268E+12,1441719852,174.18,4.95,4.2,84.01
12-01-2024,14926352,3051909,67166,27067,3.91268E+12,1441719852,177.94,4.95,4.2,84.33
